PID,Gene,Code,COG,Product,Length,Synonym,IsORF,ATG,TGA,IsBlankSegment
NP_414675.1,panC,,,pantothenate synthetase,852,b0133,True,4492858,4493709,False
NP_414676.1,panB,,,3-methyl-2-oxobutanoate hydroxymethyltransferase,795,b0134,True,4492052,4492846,False
NP_414677.1,yadC,,,fimbrial tip-adhesin YadC,1239,b0135,True,4490700,4491938,False
NP_414678.1,yadK,,,putative fimbrial protein YadK,597,b0136,True,4490054,4490650,False
NP_414679.1,yadL,,,putative fimbrial protein YadL,606,b0137,True,4489422,4490027,False
NP_414680.4,yadM,,,putative fimbrial protein YadM,570,b0138,True,4488841,4489410,False
NP_414681.1,htrE,,,putative fimbrial usher protein HtrE,2598,b0139,True,4486227,4488824,False
NP_414682.1,yadV,,,putative fimbrial chaperone YadV,741,b0140,True,4485452,4486192,False
NP_414683.1,yadN,,,putative fimbrial protein YadN,585,b0141,True,4484770,4485354,False
NP_414684.1,folK,,,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,480,b0142,True,4483921,4484400,False
NP_414685.4,pcnB,,,poly(A) polymerase I,1398,b0143,True,4482527,4483924,False
NP_414686.3,gluQ,,,glutamyl-Q tRNA(Asp) synthetase,927,b0144,True,4481541,4482467,False
NP_414687.1,dksA,,,RNA polymerase-binding transcription factor DksA,456,b0145,True,4481049,4481504,False
NP_414688.1,sfsA,,,sugar fermentation stimulation protein A,705,b0146,True,4480167,4480871,False
NP_414689.4,thpR,,,"RNA 2',3'-cyclic phosphodiesterase",531,b0147,True,4479622,4480152,False
NP_414690.4,hrpB,,,RNA-dependent NTPase HrpB,2430,b0148,True,4479548,4477119,False
NP_414691.1,mrcB,,,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,2535,b0149,True,4476923,4474389,False
NP_414692.1,fhuA,,,ferrichrome outer membrane transporter/phage receptor,2244,b0150,True,4474169,4471926,False
NP_414693.1,fhuC,,,iron(III) hydroxamate ABC transporter ATP binding subunit,798,b0151,True,4471875,4471078,False
NP_414694.1,fhuD,,,iron(III) hydroxamate ABC transporter periplasmic binding protein,891,b0152,True,4471078,4470188,False
NP_414695.1,fhuB,,,iron(III) hydroxamate ABC transporter membrane subunit,1983,b0153,True,4470191,4468209,False
NP_414696.1,hemL,,,"glutamate-1-semialdehyde 2,1-aminomutase",1281,b0154,True,4466771,4468051,False
YP_010051173.1,yadX,,,protein YadX,48,b4765,True,4466605,4466558,False
NP_414697.1,clcA,,,chloride:H(+) antiporter ClcA,1422,b0155,True,4466546,4465125,False
YP_009518738.1,yadW,,,protein YadW,66,b4728,True,4465101,4465036,False
NP_414698.1,erpA,,,iron-sulfur cluster insertion protein ErpA,345,b0156,True,4465043,4464699,False
NP_414699.1,yadS,,,PF03458 family protein YadS,624,b0157,True,4464029,4464652,False
NP_414700.1,btuF,,,vitamin B12 ABC transporter periplasmic binding protein,801,b0158,True,4463191,4463991,False
NP_414701.1,mtn,,,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,699,b0159,True,4462500,4463198,False
NP_414702.1,dgt,,,dGTP triphosphohydrolase,1518,b0160,True,4462416,4460899,False
NP_414703.1,degP,,,periplasmic serine endoprotease DegP,1425,b0161,True,4460769,4459345,False
NP_414704.4,cdaR,,,DNA-binding transcriptional activator CdaR,1158,b0162,True,4459190,4458033,False
NP_414705.1,yaeH,,,DUF3461 domain-containing protein YaeH,387,b0163,True,4457558,4457944,False
NP_414706.2,yaeI,,,phosphodiesterase YaeI,813,b0164,True,4456584,4457396,False
NP_414708.1,dapD,,,tetrahydrodipicolinate succinylase,825,b0166,True,4455706,4456530,False
NP_414709.1,glnD,,,protein-PII uridylyltransferase/uridylyl-removing enzyme,2673,b0167,True,4453003,4455675,False
NP_414710.1,map,,,methionine aminopeptidase,795,b0168,True,4452147,4452941,False
,tff,,,putative small RNA T44,136,b4414,True,4451941,4451806,False
NP_414711.1,rpsB,,,30S ribosomal subunit protein S2,726,b0169,True,4451779,4451054,False
NP_414712.1,tsf,,,protein chain elongation factor EF-Ts,852,b0170,True,4450796,4449945,False
NP_414713.1,pyrH,,,UMP kinase,726,b0171,True,4449798,4449073,False
NP_414714.1,frr,,,ribosome-recycling factor,558,b0172,True,4448781,4448224,False
NP_414715.1,dxr,,,1-deoxy-D-xylulose 5-phosphate reductoisomerase,1197,b0173,True,4448132,4446936,False
,ispZ,,,small regulatory RNA IspZ,61,b4809,True,4446869,4446809,False
NP_414716.1,ispU,,,"ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]",762,b0174,True,4446750,4445989,False
NP_414717.2,cdsA,,,CDP-diglyceride synthetase,858,b0175,True,4445976,4445119,False
NP_414718.1,rseP,,,intramembrane zinc metalloprotease RseP,1353,b0176,True,4445107,4443755,False
NP_414719.1,bamA,,,outer membrane protein assembly factor BamA,2433,b0177,True,4443725,4441293,False
NP_414720.1,skp,,,periplasmic chaperone Skp,486,b0178,True,4441171,4440686,False
NP_414721.1,lpxD,,,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,1026,b0179,True,4440682,4439657,False
NP_414722.1,fabZ,,,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,456,b0180,True,4439552,4439097,False
NP_414723.1,lpxA,,,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase,789,b0181,True,4439093,4438305,False
NP_414724.1,lpxB,,,lipid A disaccharide synthase,1149,b0182,True,4438305,4437157,False
NP_414725.1,rnhB,,,RNase HII,597,b0183,True,4437160,4436564,False
NP_414726.1,dnaE,,,DNA polymerase III subunit alpha,3483,b0184,True,4436527,4433045,False
NP_414727.1,accA,,,acetyl-CoA carboxyltransferase subunit alpha,960,b0185,True,4433032,4432073,False
NP_414728.1,ldcC,,,lysine decarboxylase 2,2142,b0186,True,4431974,4429833,False
NP_414729.4,yaeR,,,VOC domain-containing protein YaeR,390,b0187,True,4429776,4429387,False
NP_414730.1,tilS,,,tRNA(Ile)-lysidine synthetase,1299,b0188,True,4429322,4428024,False
NP_414731.2,rof,,,modulator of Rho-dependent transcription termination,255,b0189,True,4427721,4427975,False
YP_026160.1,yaeP,,,PF06786 family protein YaeP,201,b4406,True,4427528,4427728,False
NP_414732.1,yaeQ,,,uncharacterized protein YaeQ,546,b0190,True,4427362,4426817,False
NP_414733.1,arfB,,,"peptidyl-tRNA hydrolase, ribosome rescue factor",423,b0191,True,4426820,4426398,False
NP_414734.1,nlpE,,,sensor lipoprotein NlpE,711,b0192,True,4426384,4425674,False
NP_414735.4,yaeF,,,peptidase C92 family protein YaeF,825,b0193,True,4424650,4425474,False
NP_414736.1,proS,,,proline--tRNA ligase,1719,b0194,True,4422878,4424596,False
NP_414737.1,trmO,,,tRNA m(6)t(6)A37 methyltransferase,708,b0195,True,4422059,4422766,False
NP_414738.1,rcsF,,,sensor lipoprotein RcsF,405,b0196,True,4421658,4422062,False
NP_414739.1,metQ,,,L-methionine/D-methionine ABC transporter membrane anchored binding protein,816,b0197,True,4420725,4421540,False
NP_414740.1,metI,,,L-methionine/D-methionine ABC transporter membrane subunit,654,b0198,True,4420032,4420685,False
NP_414741.1,metN,,,L-methionine/D-methionine ABC transporter ATP binding subunit,1032,b0199,True,4419008,4420039,False
NP_414742.1,gmhB,,,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",576,b0200,True,4418820,4418245,False
,rrsH,,,16S ribosomal RNA,1542,b0201,True,4417882,4416341,False
,ileV,,,tRNA-Ile,77,b0202,True,4416272,4416196,False
,alaV,,,tRNA-Ala,76,b0203,True,4416153,4416078,False
,rrlH,,,23S ribosomal RNA,2904,b0204,True,4415894,4412991,False
,rrfH,,,5S ribosomal RNA,120,b0205,True,4412897,4412778,False
,aspU,,,tRNA-Asp,77,b0206,True,4412725,4412649,False
NP_414743.1,dkgB,,,methylglyoxal reductase DkgB,804,b0207,True,4412486,4411683,False
NP_414744.1,yafC,,,DNA-binding transcriptional regulator YafC,915,b0208,True,4410772,4411686,False
NP_414745.1,yafD,,,endonuclease/exonuclease/phosphatase domain-containing protein YafD,801,b0209,True,4410531,4409731,False
NP_414746.1,yafE,,,putative S-adenosylmethionine-dependent methyltransferase,624,b0210,True,4409727,4409104,False
NP_414747.1,mltD,,,membrane-bound lytic murein transglycosylase D,1359,b0211,True,4407698,4409056,False
NP_414748.1,gloB,,,hydroxyacylglutathione hydrolase GloB,756,b0212,True,4406871,4407626,False
YP_010283908.1,ykfO,,,protein YkfO,33,b4815,True,4407365,4407333,False
NP_414749.2,yafS,,,putative S-adenosyl-L-methionine-dependent methyltransferase,723,b0213,True,4406837,4406115,False
NP_414750.1,rnhA,,,ribonuclease HI,468,b0214,True,4405651,4406118,False
NP_414751.1,dnaQ,,,DNA polymerase III subunit epsilon,732,b0215,True,4405586,4404855,False
,aspV,,,tRNA-Asp,77,b0216,True,4404722,4404646,False
NP_414752.1,yafT,,,lipoprotein YafT,786,b0217,True,4404318,4403533,False
YP_001165307.1,ykfM,,,uncharacterized protein YkfM,480,b4586,True,4402917,4403396,False
NP_414754.1,yafV,,,2-oxoglutaramate amidase,771,b0219,True,4401464,4402234,False
NP_414755.1,ivy,,,"periplasmic chaperone, inhibitor of vertebrate C-type lysozyme",474,b0220,True,4401310,4400837,False
NP_414756.2,fadE,,,acyl-CoA dehydrogenase,2445,b0221,True,4398350,4400794,False
NP_414757.1,gmhA,,,D-sedoheptulose 7-phosphate isomerase,579,b0222,True,4398110,4397532,False
NP_414758.1,yafJ,,,putative glutamine amidotransferase YafJ,768,b0223,True,4397326,4396559,False
NP_414759.1,dpaA,,,peptidoglycan meso-diaminopimelic acid protein amidase A,741,b0224,True,4395848,4396588,False
NP_414760.1,yafQ,,,ribosome-dependent mRNA interferase toxin YafQ,279,b0225,True,4395414,4395692,False
NP_414761.1,dinJ,,,antitoxin/DNA-binding transcriptional repressor DinJ,261,b0226,True,4395151,4395411,False
NP_414762.1,yafL,,,NlpC/P60 family protein YafL,750,b0227,True,4394941,4394192,False
NP_414763.1,rayT,,,REP-associated tyrosine transposase,498,b0228,True,4394016,4393519,False
NP_414766.1,dinB,,,DNA polymerase IV,1056,b0231,True,4390755,4389700,False
NP_414767.1,yafN,,,antitoxin YafN,294,b0232,True,4389648,4389355,False
NP_414768.1,yafO,,,ribosome-dependent mRNA interferase toxin YafO,399,b0233,True,4389352,4388954,False
NP_414769.1,yafP,,,putative N-acetyltransferase YafP,453,b0234,True,4388944,4388492,False
NP_414772.1,pepD,,,peptidase D,1458,b0237,True,4385937,4387394,False
NP_414773.1,gpt,,,xanthine-guanine phsophoribosyltransferase,459,b0238,True,4385676,4385218,False
NP_414774.1,frsA,,,fermentation-respiration switch protein,1245,b0239,True,4385126,4383882,False
,crl,,,RNA polymerase holoenzyme assembly factor Crl,71,b0240,True,4383824,4383754,False
YP_009518739.1,insB9,,,IS1 family transposase B,504,b4710,True,4383227,4383730,False
YP_009518740.1,insA9,,,IS1 family repressor TnpA,276,b4709,True,4383033,4383308,False
NP_414776.1,phoE,,,outer membrane porin PhoE,1056,b0241,True,4381553,4382608,False
NP_414777.1,proB,,,glutamate 5-kinase,1104,b0242,True,4381265,4380162,False
NP_414778.1,proA,,,glutamate-5-semialdehyde dehydrogenase,1254,b0243,True,4380150,4378897,False
,thrW,,,tRNA-Thr,76,b0244,True,4378782,4378707,False
NP_414779.1,ykfI,,,toxin of the YkfI-YafW toxin-antitoxin system,342,b0245,True,4377984,4378325,False
NP_414780.1,yafW,,,antitoxin of the YkfI-YafW toxin-antitoxin pair,318,b0246,True,4377646,4377963,False
YP_588435.1,ykfH,,,DUF987 domain-containing protein YkfH,222,b4504,True,4377406,4377627,False
NP_414781.1,ykfG,,,RadC-like JAB domain-containing protein YkfG,477,b0247,True,4376921,4377397,False
NP_414782.1,yafX,,,protein YafX,459,b0248,True,4376447,4376905,False
NP_414783.1,ykfF,,,protein YkfF,240,b0249,True,4376110,4376349,False
NP_414784.1,ykfB,,,protein YkfB,468,b0250,True,4375566,4376033,False
NP_414785.4,yafY,,,inner membrane lipoprotein YafY,444,b0251,True,4375100,4375543,False
NP_414786.4,yafZ,,,DUF932 domain-containing protein YafZ,822,b0252,True,4373648,4374469,False
NP_414787.4,ykfA,,,putative GTP-binding protein YkfA,864,b0253,True,4372693,4373556,False
NP_414788.1,perR,,,putative transcriptional regulator PerR,894,b0254,True,4371471,4372364,False
,insN,,,IS911A regulator fragment,263,b4587,True,4371375,4371113,False
NP_414790.1,insI1,,,IS30 family transposase,1152,b0256,True,4371050,4369899,False
,eyeA,,,small RNA EyeA,75,b4690,True,4369073,4368999,False
YP_009518741.1,ykfC,,,PF00078 domain-containing protein YkfC,1146,b0258,True,4368806,4367661,False
NP_414793.2,insH1,,,IS5 family transposase and trans-activator,981,b0259,True,4366572,4367552,False
NP_414794.4,mmuP,,,S-methyl-L-methionine transporter,1404,b0260,True,4366328,4364925,False
NP_414795.1,mmuM,,,homocysteine S-methyltransferase,933,b0261,True,4364938,4364006,False
NP_414796.2,afuC,,,ABC transporter ATP-binding protein AfuC,1047,b0262,True,4362851,4363897,False
NP_414798.1,insB2,,,IS1 family protein InsB,504,b0264,True,4361972,4362475,False
NP_414799.1,insA2,,,IS1 family protein InsA,276,b0265,True,4361778,4362053,False
YP_009518742.1,yagB,,,orphan antitoxin YagB,351,b0266,True,4360918,4361268,False
NP_414801.1,yagA,,,integrase core domain-containing protein YagA,1155,b0267,True,4359670,4360824,False
NP_414802.2,yagE,,,putative 2-dehydro-3-deoxygluconate aldolase,909,b0268,True,4359375,4358467,False
NP_414803.1,yagF,,,D-xylonate dehydratase,1968,b0269,True,4358452,4356485,False
NP_414804.1,yagG,,,putative D-xylonate transporter YagG,1383,b0270,True,4356258,4354876,False
NP_414805.1,yagH,,,putative xylosidase/arabinosidase,1611,b0271,True,4354864,4353254,False
NP_414806.1,xynR,,,DNA-binding transcriptional repressor XynR,759,b0272,True,4352491,4353249,False
NP_414807.1,argF,,,ornithine carbamoyltransferase ArgF,1005,b0273,True,4351348,4352352,False
YP_010051174.1,argL,,,putative translational regulatory protein ArgL,96,b4766,True,4351283,4351378,False
YP_009518743.1,ykgS,,,protein YkgS,129,b4688,True,4351143,4351015,False
NP_414808.1,insB3,,,IS1 family protein InsB,504,b0274,True,4350501,4351004,False
