Escherichia coli str. K-12 substr. MG1655, complete genome. (ncbi_taxid:511145) - 1..4641652

4511 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
4556341..4557285	-	945	NP_414618.4	leuO	b0076			DNA-binding transcriptional dual regulator LeuO
4556142..4556186	+	45	YP_009518736.1	yabR	b4726			protein YabR
4554299..4556023	-	1725	YP_025294.2	ilvI	b0077			acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit
4553805..4554296	-	492	NP_414620.1	ilvH	b0078			acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit
4552621..4553625	-	1005	NP_414622.1	cra	b0080			DNA-binding transcriptional dual regulator Cra
4551561..4552019	-	459	NP_414623.1	mraZ	b0081			DNA-binding transcriptional repressor MraZ
4550618..4551559	-	942	NP_414624.1	rsmH	b0082			16S rRNA m(4)C1402 methyltransferase
4550256..4550621	-	366	NP_414625.1	ftsL	b0083			cell division protein FtsL
4548474..4550240	-	1767	NP_414626.1	ftsI	b0084			peptidoglycan DD-transpeptidase FtsI
4548995..4549168	-	174		ftsO	b4810			small regulatory RNA FtsO
4547000..4548487	-	1488	NP_414627.1	murE	b0085			UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
4545645..4547003	-	1359	NP_414628.1	murF	b0086			D-alanyl-D-alanine-adding enzyme
4544569..4545651	-	1083	NP_414629.1	mraY	b0087			phospho-N-acetylmuramoyl-pentapeptide- transferase
4543250..4544566	-	1317	NP_414630.1	murD	b0088			UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
4542006..4543250	-	1245	NP_414631.1	ftsW	b0089			peptidoglycan glycosyltransferase FtsW
4540942..4542009	-	1068	NP_414632.1	murG	b0090			N-acetylglucosaminyl transferase
4539413..4540888	-	1476	NP_414633.1	murC	b0091			UDP-N-acetylmuramate--L-alanine ligase
4538500..4539420	-	921	NP_414634.1	ddlB	b0092			D-alanine--D-alanine ligase B
4537668..4538498	-	831	NP_414635.1	ftsQ	b0093			cell division protein FtsQ
4536409..4537671	-	1263	NP_414636.1	ftsA	b0094			cell division protein FtsA
4535197..4536348	-	1152	NP_414637.1	ftsZ	b0095			cell division protein FtsZ
4534179..4535096	-	918	NP_414638.1	lpxC	b0096			UDP-3-O-acyl-N-acetylglucosamine deacetylase
4533436..4533948	-	513	NP_414639.2	secM	b0097			SecA translation regulator
4530669..4533374	-	2706	NP_414640.1	secA	b0098			protein translocation ATPase
4530220..4530609	-	390	NP_414641.1	mutT	b0099			8-oxo-dGTP diphosphatase
4529807..4530004	+	198	NP_414643.1	yacG	b0101			DNA gyrase inhibitor YacG
4529054..4529797	+	744	NP_414644.1	zapD	b0102			cell division factor ZapD
4528434..4529054	+	621	NP_414645.1	coaE	b0103			dephospho-CoA kinase
4528365..4528409	-	45	YP_009518737.1	yacM	b4727			protein YacM
4527166..4528209	-	1044	NP_414646.1	guaC	b0104			GMP reductase
4525929..4527131	+	1203	NP_414648.1	hofC	b0106			inner membrane protein HofC
4524554..4525939	+	1386	NP_414649.1	hofB	b0107			T2SSE family protein
4524104..4524544	+	441	NP_414650.1	ppdD	b0108			prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
4523008..4523901	+	894	NP_414651.1	nadC	b0109			quinolinate phosphoribosyltransferase (decarboxylating)
4522369..4522920	-	552	NP_414652.1	ampD	b0110			1,6-anhydro-N-acetylmuramoyl-L-alanine amidase
4521518..4522372	-	855	NP_414653.1	ampE	b0111			protein AmpE
4520102..4521475	+	1374	NP_414654.1	aroP	b0112			aromatic amino acid:H(+) symporter AroP
4518797..4519561	-	765	NP_414655.1	pdhR	b0113			DNA-binding transcriptional dual regulator PdhR
4515973..4518636	-	2664	NP_414656.1	aceE	b0114			pyruvate dehydrogenase E1 component
4514066..4515958	-	1893	NP_414657.1	aceF	b0115			pyruvate dehydrogenase, E2 subunit
4512317..4513741	-	1425	NP_414658.1	lpd	b0116			lipoamide dehydrogenase
4510393..4512246	+	1854	NP_414659.1	yacH	b0117			DUF3300 domain-containing protein YacH
4507441..4510038	-	2598	NP_414660.1	acnB	b0118			AcnB
4506903..4507265	-	363	NP_414661.2	yacL	b0119			PF06062 family protein YacL
4506071..4506865	+	795	NP_414662.1	speD	b0120			S-adenosylmethionine decarboxylase proenzyme
4505189..4506055	+	867	NP_414663.1	speE	b0121			spermidine synthase
4504736..4505083	+	348	NP_414664.4	yacC	b0122			putative lipoprotein YacC
4503020..4504570	-	1551	NP_414665.1	cueO	b0123			multicopper oxidase CueO
4500428..4502818	+	2391	NP_414666.1	gcd	b0124			quinoprotein glucose dehydrogenase
4499686..4500222	-	537	NP_414667.4	hpt	b0125			hypoxanthine phosphoribosyltransferase
4498983..4499645	+	663	NP_414668.1	can	b0126			carbonic anhydrase 2
4497948..4498874	-	927	NP_414669.1	yadG	b0127			putative ABC transporter ATP-binding protein YadG
4497181..4497951	-	771	NP_414670.1	yadH	b0128			putative ABC transporter membrane subunit YadH
4496636..4497076	-	441	NP_414671.1	yadI	b0129			putative PTS enzyme IIA component YadI
4495343..4496572	-	1230	NP_414672.1	yadE	b0130			putative polysaccharide deacetylase lipoprotein YadE
4494959..4495339	+	381	NP_414673.1	panD	b0131			aspartate 1-decarboxylase proenzyme
4493783..4494685	-	903	NP_414674.1	rpnC	b0132			recombination-promoting nuclease RpnC
4492858..4493709	+	852	NP_414675.1	panC	b0133			pantothenate synthetase
4492052..4492846	+	795	NP_414676.1	panB	b0134			3-methyl-2-oxobutanoate hydroxymethyltransferase
4490700..4491938	+	1239	NP_414677.1	yadC	b0135			fimbrial tip-adhesin YadC
4490054..4490650	+	597	NP_414678.1	yadK	b0136			putative fimbrial protein YadK
4489422..4490027	+	606	NP_414679.1	yadL	b0137			putative fimbrial protein YadL
4488841..4489410	+	570	NP_414680.4	yadM	b0138			putative fimbrial protein YadM
4486227..4488824	+	2598	NP_414681.1	htrE	b0139			putative fimbrial usher protein HtrE
4485452..4486192	+	741	NP_414682.1	yadV	b0140			putative fimbrial chaperone YadV
4484770..4485354	+	585	NP_414683.1	yadN	b0141			putative fimbrial protein YadN
4483921..4484400	+	480	NP_414684.1	folK	b0142			2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
4482527..4483924	+	1398	NP_414685.4	pcnB	b0143			poly(A) polymerase I
4481541..4482467	+	927	NP_414686.3	gluQ	b0144			glutamyl-Q tRNA(Asp) synthetase
4481049..4481504	+	456	NP_414687.1	dksA	b0145			RNA polymerase-binding transcription factor DksA
4480167..4480871	+	705	NP_414688.1	sfsA	b0146			sugar fermentation stimulation protein A
4479622..4480152	+	531	NP_414689.4	thpR	b0147			RNA 2',3'-cyclic phosphodiesterase
4477119..4479548	-	2430	NP_414690.4	hrpB	b0148			RNA-dependent NTPase HrpB
4474389..4476923	-	2535	NP_414691.1	mrcB	b0149			peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
4471926..4474169	-	2244	NP_414692.1	fhuA	b0150			ferrichrome outer membrane transporter/phage receptor
4471078..4471875	-	798	NP_414693.1	fhuC	b0151			iron(III) hydroxamate ABC transporter ATP binding subunit
4470188..4471078	-	891	NP_414694.1	fhuD	b0152			iron(III) hydroxamate ABC transporter periplasmic binding protein
4468209..4470191	-	1983	NP_414695.1	fhuB	b0153			iron(III) hydroxamate ABC transporter membrane subunit
4466771..4468051	+	1281	NP_414696.1	hemL	b0154			glutamate-1-semialdehyde 2,1-aminomutase
4466558..4466605	-	48	YP_010051173.1	yadX	b4765			protein YadX
4465125..4466546	-	1422	NP_414697.1	clcA	b0155			chloride:H(+) antiporter ClcA
4465036..4465101	-	66	YP_009518738.1	yadW	b4728			protein YadW
4464699..4465043	-	345	NP_414698.1	erpA	b0156			iron-sulfur cluster insertion protein ErpA
4464029..4464652	+	624	NP_414699.1	yadS	b0157			PF03458 family protein YadS
4463191..4463991	+	801	NP_414700.1	btuF	b0158			vitamin B12 ABC transporter periplasmic binding protein
4462500..4463198	+	699	NP_414701.1	mtn	b0159			5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
4460899..4462416	-	1518	NP_414702.1	dgt	b0160			dGTP triphosphohydrolase
4459345..4460769	-	1425	NP_414703.1	degP	b0161			periplasmic serine endoprotease DegP
4458033..4459190	-	1158	NP_414704.4	cdaR	b0162			DNA-binding transcriptional activator CdaR
4457558..4457944	+	387	NP_414705.1	yaeH	b0163			DUF3461 domain-containing protein YaeH
4456584..4457396	+	813	NP_414706.2	yaeI	b0164			phosphodiesterase YaeI
4455706..4456530	+	825	NP_414708.1	dapD	b0166			tetrahydrodipicolinate succinylase
4453003..4455675	+	2673	NP_414709.1	glnD	b0167			protein-PII uridylyltransferase/uridylyl-removing enzyme
4452147..4452941	+	795	NP_414710.1	map	b0168			methionine aminopeptidase
4451806..4451941	-	136		tff	b4414			putative small RNA T44
4451054..4451779	-	726	NP_414711.1	rpsB	b0169			30S ribosomal subunit protein S2
4449945..4450796	-	852	NP_414712.1	tsf	b0170			protein chain elongation factor EF-Ts
4449073..4449798	-	726	NP_414713.1	pyrH	b0171			UMP kinase
4448224..4448781	-	558	NP_414714.1	frr	b0172			ribosome-recycling factor
4446936..4448132	-	1197	NP_414715.1	dxr	b0173			1-deoxy-D-xylulose 5-phosphate reductoisomerase
4446809..4446869	-	61		ispZ	b4809			small regulatory RNA IspZ
4445989..4446750	-	762	NP_414716.1	ispU	b0174			ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]
4445119..4445976	-	858	NP_414717.2	cdsA	b0175			CDP-diglyceride synthetase
4443755..4445107	-	1353	NP_414718.1	rseP	b0176			intramembrane zinc metalloprotease RseP
4441293..4443725	-	2433	NP_414719.1	bamA	b0177			outer membrane protein assembly factor BamA
4440686..4441171	-	486	NP_414720.1	skp	b0178			periplasmic chaperone Skp
4439657..4440682	-	1026	NP_414721.1	lpxD	b0179			UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
4439097..4439552	-	456	NP_414722.1	fabZ	b0180			3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
4438305..4439093	-	789	NP_414723.1	lpxA	b0181			acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase
4437157..4438305	-	1149	NP_414724.1	lpxB	b0182			lipid A disaccharide synthase
4436564..4437160	-	597	NP_414725.1	rnhB	b0183			RNase HII
4433045..4436527	-	3483	NP_414726.1	dnaE	b0184			DNA polymerase III subunit alpha
4432073..4433032	-	960	NP_414727.1	accA	b0185			acetyl-CoA carboxyltransferase subunit alpha
4429833..4431974	-	2142	NP_414728.1	ldcC	b0186			lysine decarboxylase 2
4429387..4429776	-	390	NP_414729.4	yaeR	b0187			VOC domain-containing protein YaeR
4428024..4429322	-	1299	NP_414730.1	tilS	b0188			tRNA(Ile)-lysidine synthetase
4427721..4427975	+	255	NP_414731.2	rof	b0189			modulator of Rho-dependent transcription termination
4427528..4427728	+	201	YP_026160.1	yaeP	b4406			PF06786 family protein YaeP
4426817..4427362	-	546	NP_414732.1	yaeQ	b0190			uncharacterized protein YaeQ
4426398..4426820	-	423	NP_414733.1	arfB	b0191			peptidyl-tRNA hydrolase, ribosome rescue factor
4425674..4426384	-	711	NP_414734.1	nlpE	b0192			sensor lipoprotein NlpE
4424650..4425474	+	825	NP_414735.4	yaeF	b0193			peptidase C92 family protein YaeF
4422878..4424596	+	1719	NP_414736.1	proS	b0194			proline--tRNA ligase
4422059..4422766	+	708	NP_414737.1	trmO	b0195			tRNA m(6)t(6)A37 methyltransferase
4421658..4422062	+	405	NP_414738.1	rcsF	b0196			sensor lipoprotein RcsF
4420725..4421540	+	816	NP_414739.1	metQ	b0197			L-methionine/D-methionine ABC transporter membrane anchored binding protein
4420032..4420685	+	654	NP_414740.1	metI	b0198			L-methionine/D-methionine ABC transporter membrane subunit
4419008..4420039	+	1032	NP_414741.1	metN	b0199			L-methionine/D-methionine ABC transporter ATP binding subunit
4418245..4418820	-	576	NP_414742.1	gmhB	b0200			D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
4416341..4417882	-	1542		rrsH	b0201			16S ribosomal RNA
4416196..4416272	-	77		ileV	b0202			tRNA-Ile
4416078..4416153	-	76		alaV	b0203			tRNA-Ala
4412991..4415894	-	2904		rrlH	b0204			23S ribosomal RNA
4412778..4412897	-	120		rrfH	b0205			5S ribosomal RNA
4412649..4412725	-	77		aspU	b0206			tRNA-Asp
4411683..4412486	-	804	NP_414743.1	dkgB	b0207			methylglyoxal reductase DkgB
4410772..4411686	+	915	NP_414744.1	yafC	b0208			DNA-binding transcriptional regulator YafC
4409731..4410531	-	801	NP_414745.1	yafD	b0209			endonuclease/exonuclease/phosphatase domain-containing protein YafD
4409104..4409727	-	624	NP_414746.1	yafE	b0210			putative S-adenosylmethionine-dependent methyltransferase
4407698..4409056	+	1359	NP_414747.1	mltD	b0211			membrane-bound lytic murein transglycosylase D
4406871..4407626	+	756	NP_414748.1	gloB	b0212			hydroxyacylglutathione hydrolase GloB
4407333..4407365	-	33	YP_010283908.1	ykfO	b4815			protein YkfO
4406115..4406837	-	723	NP_414749.2	yafS	b0213			putative S-adenosyl-L-methionine-dependent methyltransferase
4405651..4406118	+	468	NP_414750.1	rnhA	b0214			ribonuclease HI
4404855..4405586	-	732	NP_414751.1	dnaQ	b0215			DNA polymerase III subunit epsilon
4404646..4404722	-	77		aspV	b0216			tRNA-Asp
4403533..4404318	-	786	NP_414752.1	yafT	b0217			lipoprotein YafT
4402917..4403396	+	480	YP_001165307.1	ykfM	b4586			uncharacterized protein YkfM
4401464..4402234	+	771	NP_414754.1	yafV	b0219			2-oxoglutaramate amidase
4400837..4401310	-	474	NP_414755.1	ivy	b0220			periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
4398350..4400794	+	2445	NP_414756.2	fadE	b0221			acyl-CoA dehydrogenase
4397532..4398110	-	579	NP_414757.1	gmhA	b0222			D-sedoheptulose 7-phosphate isomerase
4396559..4397326	-	768	NP_414758.1	yafJ	b0223			putative glutamine amidotransferase YafJ
4395848..4396588	+	741	NP_414759.1	dpaA	b0224			peptidoglycan meso-diaminopimelic acid protein amidase A
4395414..4395692	+	279	NP_414760.1	yafQ	b0225			ribosome-dependent mRNA interferase toxin YafQ
4395151..4395411	+	261	NP_414761.1	dinJ	b0226			antitoxin/DNA-binding transcriptional repressor DinJ
4394192..4394941	-	750	NP_414762.1	yafL	b0227			NlpC/P60 family protein YafL
4393519..4394016	-	498	NP_414763.1	rayT	b0228			REP-associated tyrosine transposase
4389700..4390755	-	1056	NP_414766.1	dinB	b0231			DNA polymerase IV
4389355..4389648	-	294	NP_414767.1	yafN	b0232			antitoxin YafN
4388954..4389352	-	399	NP_414768.1	yafO	b0233			ribosome-dependent mRNA interferase toxin YafO
4388492..4388944	-	453	NP_414769.1	yafP	b0234			putative N-acetyltransferase YafP
4385937..4387394	+	1458	NP_414772.1	pepD	b0237			peptidase D
4385218..4385676	-	459	NP_414773.1	gpt	b0238			xanthine-guanine phsophoribosyltransferase
4383882..4385126	-	1245	NP_414774.1	frsA	b0239			fermentation-respiration switch protein
4383754..4383824	-	71		crl	b0240			RNA polymerase holoenzyme assembly factor Crl
4383227..4383730	+	504	YP_009518739.1	insB9	b4710			IS1 family transposase B
4383033..4383308	+	276	YP_009518740.1	insA9	b4709			IS1 family repressor TnpA
4381553..4382608	+	1056	NP_414776.1	phoE	b0241			outer membrane porin PhoE
4380162..4381265	-	1104	NP_414777.1	proB	b0242			glutamate 5-kinase
4378897..4380150	-	1254	NP_414778.1	proA	b0243			glutamate-5-semialdehyde dehydrogenase
4378707..4378782	-	76		thrW	b0244			tRNA-Thr
4377984..4378325	+	342	NP_414779.1	ykfI	b0245			toxin of the YkfI-YafW toxin-antitoxin system
4377646..4377963	+	318	NP_414780.1	yafW	b0246			antitoxin of the YkfI-YafW toxin-antitoxin pair
4377406..4377627	+	222	YP_588435.1	ykfH	b4504			DUF987 domain-containing protein YkfH
4376921..4377397	+	477	NP_414781.1	ykfG	b0247			RadC-like JAB domain-containing protein YkfG
4376447..4376905	+	459	NP_414782.1	yafX	b0248			protein YafX
4376110..4376349	+	240	NP_414783.1	ykfF	b0249			protein YkfF
4375566..4376033	+	468	NP_414784.1	ykfB	b0250			protein YkfB
4375100..4375543	+	444	NP_414785.4	yafY	b0251			inner membrane lipoprotein YafY
4373648..4374469	+	822	NP_414786.4	yafZ	b0252			DUF932 domain-containing protein YafZ
4372693..4373556	+	864	NP_414787.4	ykfA	b0253			putative GTP-binding protein YkfA
4371471..4372364	+	894	NP_414788.1	perR	b0254			putative transcriptional regulator PerR
4371113..4371375	-	263		insN	b4587			IS911A regulator fragment
4369899..4371050	-	1152	NP_414790.1	insI1	b0256			IS30 family transposase
4368999..4369073	-	75		eyeA	b4690			small RNA EyeA
4367661..4368806	-	1146	YP_009518741.1	ykfC	b0258			PF00078 domain-containing protein YkfC
4366572..4367552	+	981	NP_414793.2	insH1	b0259			IS5 family transposase and trans-activator
4364925..4366328	-	1404	NP_414794.4	mmuP	b0260			S-methyl-L-methionine transporter
4364006..4364938	-	933	NP_414795.1	mmuM	b0261			homocysteine S-methyltransferase
4362851..4363897	+	1047	NP_414796.2	afuC	b0262			ABC transporter ATP-binding protein AfuC
4361972..4362475	+	504	NP_414798.1	insB2	b0264			IS1 family protein InsB
4361778..4362053	+	276	NP_414799.1	insA2	b0265			IS1 family protein InsA
4360918..4361268	+	351	YP_009518742.1	yagB	b0266			orphan antitoxin YagB
4359670..4360824	+	1155	NP_414801.1	yagA	b0267			integrase core domain-containing protein YagA
4358467..4359375	-	909	NP_414802.2	yagE	b0268			putative 2-dehydro-3-deoxygluconate aldolase
4356485..4358452	-	1968	NP_414803.1	yagF	b0269			D-xylonate dehydratase
4354876..4356258	-	1383	NP_414804.1	yagG	b0270			putative D-xylonate transporter YagG
4353254..4354864	-	1611	NP_414805.1	yagH	b0271			putative xylosidase/arabinosidase
4352491..4353249	+	759	NP_414806.1	xynR	b0272			DNA-binding transcriptional repressor XynR
4351348..4352352	+	1005	NP_414807.1	argF	b0273			ornithine carbamoyltransferase ArgF
4351283..4351378	+	96	YP_010051174.1	argL	b4766			putative translational regulatory protein ArgL
4351015..4351143	-	129	YP_009518743.1	ykgS	b4688			protein YkgS
4350501..4351004	+	504	NP_414808.1	insB3	b0274			IS1 family protein InsB
4350307..4350582	+	276	NP_414809.1	insA3	b0275			IS1 family protein InsA
4349422..4350153	-	732	YP_009518744.1	yagJ	b0276			protein YagJ
4348705..4349331	+	627	NP_414811.1	yagK	b0277			uncharacterized protein YagK
4347735..4348433	+	699	NP_414812.1	yagL	b0278			resolvase-like catalytic domain-containing protein YagL
4346854..4347708	+	855	NP_414813.1	yagM	b0279			protein YagM
4346511..4346735	+	225	YP_009518745.1	ykgV	b4729			protein YkgV
4346074..4346514	+	441	NP_414814.1	yagN	b0280			protein YagN
4344557..4345957	+	1401	NP_414815.1	intF	b0281			putative phage integrase
4343862..4344272	+	411	YP_009518746.1	yagP	b0282			putative LysR family substrate binding domain-containing protein YagP
4342927..4343883	+	957	NP_414817.1	paoD	b0283			molybdenum cofactor insertion chaperone PaoD
4340719..4342917	+	2199	NP_414818.1	paoC	b0284			aldehyde dehydrogenase: molybdenum cofactor-binding subunit
4339766..4340722	+	957	NP_414819.1	paoB	b0285			aldehyde dehydrogenase, FAD-binding subunit
4339080..4339769	+	690	NP_414820.1	paoA	b0286			aldehyde dehydrogenase, Fe-S subunit
4338048..4338662	-	615	NP_414821.1	yagU	b0287			DUF1440 domain-containing inner membrane protein YagU
4337471..4337800	+	330	NP_414822.1	ykgJ	b0288			putative metal-chelating domain-containing protein YkgJ
4336448..4337158	+	711	NP_414823.2	ecpE	b0289			putative fimbrial chaperone EcpE
4334836..4336479	+	1644	NP_414824.1	ecpD	b0290			fimbrial adhesin EcpD
4332321..4334846	+	2526	NP_414825.1	ecpC	b0291			putative fimbrial usher protein EcpC
4331627..4332295	+	669	NP_414826.1	ecpB	b0292			putative fimbrial chaperone EcpB
4330982..4331569	+	588	NP_414827.1	ecpA	b0293			common pilus major subunit
4330317..4330907	+	591	NP_414828.1	matA	b0294			DNA-binding transcriptional dual regulator MatA
4329314..4329541	-	228	NP_414829.1	ykgL	b0295			uncharacterized protein YkgL
4329139..4329279	+	141	YP_588437.1	ykgO	b4506			50S ribosomal subunit protein L36B
4328876..4329139	+	264	NP_414830.1	ykgM	b0296			50S ribosomal subunit protein L31B
4328411..4328512	+	102	YP_002791238.1	ykgR	b4671			putative membrane protein YkgR
